date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Mar,1,0,0,,P14A missing sr,,Ex: Jan01-02 is listed 1-Jan
2-Mar,1,0,0,,,,
3-Mar,1,0,0,,,,
4-Mar,1,0,0,,,,"Note: these folders have unnamed (as in no BG or Dark) pictures in addition to the BG, Dark, P12A, etc"
5-Mar,1,0,0,,,,
6-Mar,1,0,0,,,,
7-Mar,1,0,0,,,,
8-Mar,1,0,0,,,,
9-Mar,1,0,0,,,,
10-Mar,1,0,0,,,,
11-Mar,1,0,0,,,,
12-Mar,1,0,0,,,,
13-Mar,1,0,0,,,,
14-Mar,1,0,0,,,,
15-Mar,1,0,0,,,,
16-Mar,1,0,0,,,,
22-Mar,1,0,0,,,,
23-Mar,1,0,0,,,,
24-Mar,1,0,0,,,,
25-Mar,1,0,0,,,,
26-Mar,1,0,0,,,,
27-Mar,1,0,0,,,,
28-Mar,1,0,0,,,,
29-Mar,1,0,0,,,,
30-Mar,1,0,0,,,,
31-Mar,1,0,0,,,,
