date ,star removed (sr),flat fielded (ff),"calibrated, unwarped (caun)","if srffcaun, which ones?",other notes,,*Note: the day listed is the day that the night starts in
1-Aug,1,1,1,P12A,,,Ex: Jan01-02 is listed 1-Jan
11-Aug,1,1,1,P12A,,,
12-Aug,1,1,1,P12A,,,
13-Aug,1,1,1,P12A,,,
14-Aug,1,1,1,P12A,,,
15-Aug,1,1,1,P12A,,,
16-Aug,1,1,1,P12A,,,
17-Aug,1,0,0,,,,
18-Aug,1,0,0,,,,
19-Aug,1,0,0,,,,
20-Aug,1,0,0,,,,
21-Aug,1,0,0,,,,
22-Aug,1,0,0,,,,
23-Aug,1,0,0,,,,
24-Aug,1,0,0,,,,
25-Aug,1,0,0,,,,
26-Aug,1,0,0,,,,
27-Aug,1,0,0,,,,
28-Aug,1,0,0,,,,
29-Aug,1,0,0,,,,
30-Aug,1,0,0,,,,
31-Aug,1,0,0,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
